No;TEAM ;PLAYER;POSITION;GP;GS;Min;PTS;2P%;3P%;FT%;OR;DR;TR;AST;STL;TO;BLK;BLKA;FC;FD;PIR
1;AS MONACO;ELIE OKOBO;Guard;41;6;26:00:00;12,6;52,9;33,5;83,7;0,3;1,9;2,1;3,6;1;2,1;0,2;0,3;2,5;3;12
2;AS MONACO;JOHN BROWN;Forward;41;38;22:24:00;5,4;48,9;37,5;68,2;2,1;1,4;3,5;0,8;1,1;0,7;0,2;0,1;2,6;1,7;6,5
3;AS MONACO;CHIMA MONEKE;Forward;16;1;12:37:00;3,9;51,3;0;88,5;1,1;2;3,1;0,5;0,2;0,8;0,2;0,2;1,9;1,1;4,6
4;AS MONACO;JORDAN LOYD;Guard;34;29;25:20:00;12,3;50,3;37,1;89,9;0,3;2,1;2,4;2,7;1,3;1,2;0,1;0,2;2,6;3,8;13,4
5;AS MONACO;JARON BLOSSOMGAME;Forward;38;17;17:21:00;5,1;58,5;25;55,6;0,9;1,8;2,7;0,2;0,3;0,3;0,2;0,1;1,9;1,3;4,4
6;AS MONACO;YOAN MAKOUNDOU;Center;8;0;9:33:00;4,4;50;20;80;1,6;1,1;2,8;0,4;0,2;0,8;0,5;0,6;0,9;0,6;4,2
7;AS MONACO;ALPHA DIALLO;Forward;41;15;24:45:00;10,5;53,3;29,8;75;1,5;2,7;4,2;2;1,3;1,3;0,3;0,3;2,9;2,5;11,1
8;AS MONACO;ADRIEN MOERMAN;;16;2;14:35:00;2,9;26,1;22,7;50;0,8;1,9;2,8;0,7;0,4;0,8;0;0,1;1,1;0,8;2,1
9;AS MONACO;DONATAS MOTIEJUNAS;Center;41;37;17:47:00;8,5;63,5;25;55,8;1,3;2,4;3,7;0,8;0,3;0,9;0,1;0,2;1,7;3;10
10;AS MONACO;YAKUBA OUATTARA;Guard;35;15;11:10:00;3,7;60,4;35,4;50;0,3;0,7;1;0,3;0,4;0,1;0;0,1;1,2;0,2;2,4
11;AS MONACO;MATTHEW STRAZEL;Guard;25;3;8:08:00;2,5;56;32;66,7;0;0,2;0,2;0,6;0,2;0,7;0;0,1;1,2;0,2;2,4
12;AS MONACO;DONTA HALL;Center;41;4;18:38:00;7,5;72,9;0;71;2,1;3,4;5,5;0,5;0,5;0,5;0,9;0,2;2,3;2,1;12,3
13;AS MONACO;MIKE JAMES ;Guard;38;38;30:21:00;15,9;45,9;27,3;78,3;0,6;3,1;3,7;4,4;1;2,2;0;0,6;1,7;5,1;16,3
14;REAL MADRID;NIGEL WILLIAMS-GOSS;Guard;26;23;15:47:00;7,4;58,3;38,5;77,1;0,2;1,2;1,3;1,8;0,6;1;0;0,2;1,9;1,4;6,6
15;REAL MADRID;FABIEN CASEUR;Forward;29;8;12:39:00;4;40;36,4;77,3;0,3;0,9;1,1;1,2;0,4;0,7;0,1;0,1;1,6;1,1;3,1
16;REAL MADRID;ANTHONY RANDOLPH;Forward;8;1;6:05:00;3;66,7;60;60;0,2;1;1,2;0;0,4;0,2;0,1;0,1;1,5;0,8;2,8
17;REAL MADRID;RUDY FERNANDEZ;Forward;20;0;17:23:00;4,3;66,7;29,9;100;0,4;1,7;2,2;1,5;0,8;0,6;0,2;0,1;2;1;4,2
18;REAL MADRID;ALBERTO ABALDE;Forward;24;10;14:22:00;2,6;37;25;66,7;0,4;1,7;2,1;1,6;0,3;0,6;0;0,1;1,7;0,8;2,9
